Character,Transcriptions,Fanqie,Sixtuples,Identifiers
東,tuwng,德紅,通開一平東端,1
菄,tuwng,德紅,通開一平東端,1
鶇,tuwng,德紅,通開一平東端,1
䍶,tuwng;drin;tuwngH,德紅;直珍;多貢,通開一平東端;臻開三平眞澄;通開一去東端,1;415;2096
𠍀,tuwng,德紅,通開一平東端,1
倲,tuwng,德紅,通開一平東端,1
𩜍,tuwng,德紅,通開一平東端,1
𢘐,tuwng,德紅,通開一平東端,1
涷,tuwng;tuwngH,德紅;多貢,通開一平東端;通開一去東端,1;2096
蝀,tuwng;tuwngX,德紅;多動,通開一平東端;通開一上東端,1;1157
凍,tuwng;tuwngH,德紅;多貢,通開一平東端;通開一去東端,1;2096
鯟,tuwng,德紅,通開一平東端,1
𢔅,tuwng,德紅,通開一平東端,1
崠,tuwng,德紅,通開一平東端,1
埬,tuwng,德紅,通開一平東端,1
𧓕,tuwng,德紅,通開一平東端,1
䰤,tuwng,德紅,通開一平東端,1
同,duwng,徒紅,通開一平東定,2
仝,duwng;dzjwen,徒紅;疾緣,通開一平東定;山合三平仙從,2;617
童,duwng,徒紅,通開一平東定,2
僮,duwng,徒紅,通開一平東定,2
銅,duwng,徒紅,通開一平東定,2
桐,duwng,徒紅,通開一平東定,2
峒,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
硐,duwng;duwngX,徒紅;徒揔,通開一平東定;通開一上東定,2;1169
𦨴,duwng,徒紅,通開一平東定,2
𧱁,duwng,徒紅,通開一平東定,2
筒,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
瞳,duwng,徒紅,通開一平東定,2
㼧,duwng,徒紅,通開一平東定,2
𤭁,duwng,徒紅,通開一平東定,2
罿,duwng;tsyhowng,徒紅;尺容,通開一平東定;通開三平鍾昌,2;49
犝,duwng,徒紅,通開一平東定,2
筩,duwng,徒紅,通開一平東定,2
潼,duwng;tsyhowng,徒紅;尺容,通開一平東定;通開三平鍾昌,2;49
曈,duwng;thuwng;thuwngX,徒紅;他紅;他孔,通開一平東定;通開一平東透;通開一上東透,2;29;1161
洞,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
侗,duwng;thuwng;thuwngX,徒紅;他紅;他孔,通開一平東定;通開一平東透;通開一上東透,2;29;1161
橦,duwng;tsyowng;draewng,徒紅;職容;宅江,通開一平東定;通開三平鍾章;江開二平江澄,2;45;82
烔,duwng,徒紅,通開一平東定,2
䴀,duwng,徒紅,通開一平東定,2
挏,duwng;duwngX,徒紅;徒揔,通開一平東定;通開一上東定,2;1169
酮,duwng;duwngX,徒紅;徒揔,通開一平東定;通開一上東定,2;1169
鮦,duwng;drjowngX;drjuwX,徒紅;直隴;除柳,通開一平東定;通開三上鍾澄;流開三上尤澄,2;1176;1942
㼿,duwng;tsyowngH,徒紅;之用,通開一平東定;通開三去鍾章,2;2135
𦏆,duwng,徒紅,通開一平東定,2
𦍻,duwng,徒紅,通開一平東定,2
眮,duwng;duwngX;duwngH,徒紅;徒揔;徒弄,通開一平東定;通開一上東定;通開一去東定,2;1169;2101
蕫,duwng;tuwngX,徒紅;多動,通開一平東定;通開一上東端,2;1157
穜,duwng;drjowng,徒紅;直容,通開一平東定;通開三平鍾澄,2;56
衕,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
𩍅,duwng,徒紅,通開一平東定,2
𢈉,duwng,徒紅,通開一平東定,2
䆚,duwng,徒紅,通開一平東定,2
哃,duwng,徒紅,通開一平東定,2
𢏕,duwng,徒紅,通開一平東定,2
絧,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
𨝯,duwng,徒紅,通開一平東定,2
𨚯,duwng,徒紅,通開一平東定,2
𪔝,duwng,徒紅,通開一平東定,2
𩦶,duwng;downg,徒紅;徒冬,通開一平東定;通開一平冬定,2;36
𪒿,duwng,徒紅,通開一平東定,2
中,trjuwng;trjuwngH,陟弓;陟仲,通開三平東知;通開三去東知,3;2112
衷,trjuwng;trjuwngH,陟弓;陟仲,通開三平東知;通開三去東知,3;2112
忠,trjuwng,陟弓,通開三平東知,3
𦬕,trjuwng;drjuwng,陟弓;直弓,通開三平東知;通開三平東澄,3;4
蟲,drjuwng;drjuwngH,直弓;直衆,通開三平東澄;通開三去東澄,4;2103
沖,drjuwng,直弓,通開三平東澄,4
种,drjuwng,直弓,通開三平東澄,4
盅,drjuwng;trhjuwng,直弓;敕中,通開三平東澄;通開三平東徹,4;6
爞,drjuwng;downg,直弓;徒冬,通開三平東澄;通開一平冬定,4;36
翀,drjuwng,直弓,通開三平東澄,4
終,tsyuwng,職戎,通開三平東章,5
衆,tsyuwng;tsyuwngH,職戎;之仲,通開三平東章;通開三去東章,5;2115
眾,tsyuwng,職戎,通開三平東章,5
潨,tsyuwng;dzuwng;dzowng,職戎;徂紅;藏宗,通開三平東章;通開一平東從;通開一平冬從,5;26;37
𣧩,tsyuwng,職戎,通開三平東章,5
𧑄,tsyuwng,職戎,通開三平東章,5
𩅧,tsyuwng,職戎,通開三平東章,5
䝦,tsyuwng,職戎,通開三平東章,5
䶱,tsyuwng;downg,職戎;徒冬,通開三平東章;通開一平冬定,5;36
䈺,tsyuwng,職戎,通開三平東章,5
螽,tsyuwng,職戎,通開三平東章,5
鼨,tsyuwng,職戎,通開三平東章,5
蔠,tsyuwng,職戎,通開三平東章,5
柊,tsyuwng,職戎,通開三平東章,5
鴤,tsyuwng,職戎,通開三平東章,5
泈,tsyuwng,職戎,通開三平東章,5
忡,trhjuwng,敕中,通開三平東徹,6
浺,trhjuwng,敕中,通開三平東徹,6
崇,dzrjuwng,鋤弓,通開三平東崇,7
崈,dzrjuwng,鋤弓,通開三平東崇,7
㓽,dzrjuwng;dzrjuwngH,鋤弓;仕仲,通開三平東崇;通開三去東崇,7;2117
𩞉,dzrjuwng,鋤弓,通開三平東崇,7
嵩,sjuwng,息弓,通開三平東心,8
崧,sjuwng,息弓,通開三平東心,8
娀,sjuwng,息弓,通開三平東心,8
菘,sjuwng,息弓,通開三平東心,8
硹,sjuwng,息弓,通開三平東心,8
𪀚,sjuwng,息弓,通開三平東心,8
㣝,sjuwng,息弓,通開三平東心,8
𧊕,sjuwng,息弓,通開三平東心,8
𨱿,sjuwng,息弓,通開三平東心,8
戎,nyuwng,如融,通開三平東日,9
𢦦,nyuwng,如融,通開三平東日,9
㭜,nyuwng,如融,通開三平東日,9
𥬪,nyuwng,如融,通開三平東日,9
𠈋,nyuwng,如融,通開三平東日,9
茙,nyuwng,如融,通開三平東日,9
駥,nyuwng,如融,通開三平東日,9
狨,nyuwng,如融,通開三平東日,9
絨,nyuwng,如融,通開三平東日,9
弓,kjuwng,居戎,通開三平東見,10
躳,kjuwng,居戎,通開三平東見,10
躬,kjuwng,居戎,通開三平東見,10
㴦,kjuwng,居戎,通開三平東見,10
宮,kjuwng,居戎,通開三平東見,10
匑,kjuwng;khjuwng,居戎;去宮,通開三平東見;通開三平東溪,10;14
融,yuwng,以戎,通開三平東以,11
肜,yuwng,以戎,通開三平東以,11
瀜,yuwng,以戎,通開三平東以,11
雄,hjuwng,羽弓,通開三平東云,12
熊,hjuwng,羽弓,通開三平東云,12
瞢,mjuwng;mong;mjuwngH,莫中;武登;莫鳳,通開三平東明;曾開一平登明;通開三去東明,13;974;2106
夢,mjuwng;mjuwngH,莫中;莫鳳,通開三平東明;通開三去東明,13;2106
懜,mjuwng;muwng;mongH,莫中;莫紅;武亘,通開三平東明;通開一平東明;曾開一去登明,13;23;3024
𨞯,mjuwng,莫中,通開三平東明,13
𦫰,mjuwng,莫中,通開三平東明,13
𧲎,mjuwng,莫中,通開三平東明,13
穹,khjuwng,去宮,通開三平東溪,14
𢞏,khjuwng,去宮,通開三平東溪,14
𦵡,khjuwng,去宮,通開三平東溪,14
𥳎,khjuwng;gjowng;khjowng,去宮;渠容;曲恭,通開三平東溪;通開三平鍾群;通開三平鍾溪,14;63;68
焪,khjuwng;khjuwngH,去宮;去仲,通開三平東溪;通開三去東溪,14;2105
芎,khjuwng,去宮,通開三平東溪,14
窮,gjuwng,渠弓,通開三平東群,15
藭,gjuwng,渠弓,通開三平東群,15
𥨪,gjuwng,渠弓,通開三平東群,15
馮,bjuwng;bing,房戎;扶冰,通開三平東並;曾開三平蒸並,16;951
堸,bjuwng,房戎,通開三平東並,16
汎,bjuwng;phjomH,房戎;孚梵,通開三平東並;咸合三去凡滂,16;3177
芃,bjuwng;buwng,房戎;薄紅,通開三平東並;通開一平東並,16;31
𨝭,bjuwng,房戎,通開三平東並,16
渢,bjuwng,房戎,通開三平東並,16
梵,bjuwng;bjomH,房戎;扶泛,通開三平東並;咸合三去凡並,16;3176
風,pjuwng;pjuwngH,方戎;方鳳,通開三平東幫;通開三去東幫,17;2104
飌,pjuwng,方戎,通開三平東幫,17
楓,pjuwng,方戎,通開三平東幫,17
猦,pjuwng,方戎,通開三平東幫,17
偑,pjuwng,方戎,通開三平東幫,17
檒,pjuwng,方戎,通開三平東幫,17
𧆉,pjuwng,方戎,通開三平東幫,17
瘋,pjuwng,方戎,通開三平東幫,17
豐,phjuwng,敷空,通開三平東滂,18
酆,phjuwng,敷空,通開三平東滂,18
蘴,phjuwng;phjowng,敷空;敷容,通開三平東滂;通開三平鍾滂,18;60
灃,phjuwng,敷空,通開三平東滂,18
寷,phjuwng,敷空,通開三平東滂,18
麷,phjuwng;phjuwngH,敷空;撫鳳,通開三平東滂;通開三去東滂,18;2110
㒥,phjuwng,敷空,通開三平東滂,18
𡾿,phjuwng,敷空,通開三平東滂,18
充,tsyhuwng,昌終,通開三平東昌,19
珫,tsyhuwng,昌終,通開三平東昌,19
茺,tsyhuwng,昌終,通開三平東昌,19
㤝,tsyhuwng,昌終,通開三平東昌,19
䘪,tsyhuwng,昌終,通開三平東昌,19
𪎽,tsyhuwng;thowngH,昌終;他綜,通開三平東昌;通開一去冬透,19;2121
㳘,tsyhuwng,昌終,通開三平東昌,19
隆,ljuwng,力中,通開三平東來,20
癃,ljuwng,力中,通開三平東來,20
𪔳,ljuwng,力中,通開三平東來,20
㚅,ljuwng,力中,通開三平東來,20
窿,ljuwng,力中,通開三平東來,20
霳,ljuwng,力中,通開三平東來,20
空,khuwng;khuwngH,苦紅;苦貢,通開一平東溪;通開一去東溪,21;2097
箜,khuwng,苦紅,通開一平東溪,21
崆,khuwng;khaewng,苦紅;苦江,通開一平東溪;江開二平江溪,21;81
椌,khuwng;khaewng,苦紅;苦江,通開一平東溪;江開二平江溪,21;81
硿,khuwng,苦紅,通開一平東溪,21
悾,khuwng;khaewng;khuwngH,苦紅;苦江;苦貢,通開一平東溪;江開二平江溪;通開一去東溪,21;81;2097
埪,khuwng,苦紅,通開一平東溪,21
倥,khuwng;khuwngX;khuwngH,苦紅;康董;苦貢,通開一平東溪;通開一上東溪;通開一去東溪,21;1159;2097
涳,khuwng;nraewng;khaewng,苦紅;女江;苦江,通開一平東溪;江開二平江娘;江開二平江溪,21;71;81
鵼,khuwng,苦紅,通開一平東溪,21
䅝,khuwng,苦紅,通開一平東溪,21
𦱇,khuwng,苦紅,通開一平東溪,21
𢃐,khuwng,苦紅,通開一平東溪,21
𧌆,khuwng,苦紅,通開一平東溪,21
公,kuwng,古紅,通開一平東見,22
功,kuwng,古紅,通開一平東見,22
工,kuwng,古紅,通開一平東見,22
疘,kuwng,古紅,通開一平東見,22
蚣,kuwng;tsyowng,古紅;職容,通開一平東見;通開三平鍾章,22;45
玒,kuwng;kaewng,古紅;古雙,通開一平東見;江開二平江見,22;69
㓚,kuwng,古紅,通開一平東見,22
釭,kuwng;kowng;kaewng,古紅;古冬;古雙,通開一平東見;通開一平冬見;江開二平江見,22;39;69
魟,kuwng;huwng;xuwng,古紅;戸公;呼東,通開一平東見;通開一平東匣;通開一平東曉,22;25;32
攻,kuwng;kowng,古紅;古冬,通開一平東見;通開一平冬見,22;39
愩,kuwng,古紅,通開一平東見,22
碽,kuwng,古紅,通開一平東見,22
篢,kuwng,古紅,通開一平東見,22
蒙,muwng,莫紅,通開一平東明,23
冡,muwng,莫紅,通開一平東明,23
濛,muwng;muwngX,莫紅;莫孔,通開一平東明;通開一上東明,23;1158
𩦺,muwng,莫紅,通開一平東明,23
䰒,muwng,莫紅,通開一平東明,23
艨,muwng;muwngH,莫紅;莫弄,通開一平東明;通開一去東明,23;2108
朦,muwng;muwngX,莫紅;莫孔,通開一平東明;通開一上東明,23;1158
矇,muwng,莫紅,通開一平東明,23
饛,muwng,莫紅,通開一平東明,23
檬,muwng,莫紅,通開一平東明,23
𨢊,muwng,莫紅,通開一平東明,23
䴿,muwng,莫紅,通開一平東明,23
𢄐,muwng;muwngH,莫紅;莫弄,通開一平東明;通開一去東明,23;2108
𨣘,muwng,莫紅,通開一平東明,23
鸏,muwng;muwngX,莫紅;莫孔,通開一平東明;通開一上東明,23;1158
幪,muwng,莫紅,通開一平東明,23
罞,muwng;maew,莫紅;莫交,通開一平東明;效開二平肴明,23;692
髳,muwng,莫紅,通開一平東明,23
蠓,muwng;muwngX,莫紅;莫孔,通開一平東明;通開一上東明,23;1158
𦿏,muwng,莫紅,通開一平東明,23
雺,muwng;mjuw;mowngH;muwH,莫紅;莫浮;莫綜;莫候,通開一平東明;流開三平尤明;通開一去冬明;流開一去侯明,23;1016;2122;3063
霿,muwng;muwngH,莫紅;莫弄,通開一平東明;通開一去東明,23;2108
霧,muwng;mjuH,莫紅;亡遇,通開一平東明;遇合三去虞明,23;2328
䀄,muwng,莫紅,通開一平東明,23
霥,muwng,莫紅,通開一平東明,23
礞,muwng,莫紅,通開一平東明,23
籠,luwng;ljowng;luwngX,盧紅;力鍾;力董,通開一平東來;通開三平鍾來;通開一上東來,24;46;1167
豅,luwng,盧紅,通開一平東來,24
㰍,luwng,盧紅,通開一平東來,24
朧,luwng,盧紅,通開一平東來,24
𡃡,luwng,盧紅,通開一平東來,24
龓,luwng;luwngX,盧紅;力董,通開一平東來;通開一上東來,24;1167
䪊,luwng,盧紅,通開一平東來,24
瀧,luwng;laewng;sraewng,盧紅;呂江;所江,通開一平東來;江開二平江來;江開二平江生,24;76;77
聾,luwng,盧紅,通開一平東來,24
𨏠,luwng,盧紅,通開一平東來,24
䆍,luwng,盧紅,通開一平東來,24
礱,luwng;luwngH,盧紅;盧貢,通開一平東來;通開一去東來,24;2095
𪚗,luwng,盧紅,通開一平東來,24
嚨,luwng,盧紅,通開一平東來,24
蘢,luwng;ljowng,盧紅;力鍾,通開一平東來;通開三平鍾來,24;46
櫳,luwng,盧紅,通開一平東來,24
𤮨,luwng,盧紅,通開一平東來,24
巃,luwng;luwngX,盧紅;力董,通開一平東來;通開一上東來,24;1167
襱,luwng;luwngX;drjowngX,盧紅;力董;直隴,通開一平東來;通開一上東來;通開三上鍾澄,24;1167;1176
𧙥,luwng,盧紅,通開一平東來,24
瓏,luwng,盧紅,通開一平東來,24
曨,luwng;luwngX,盧紅;力董,通開一平東來;通開一上東來,24;1167
蠪,luwng,盧紅,通開一平東來,24
鸗,luwng;ljowng,盧紅;力鍾,通開一平東來;通開三平鍾來,24;46
𩟭,luwng,盧紅,通開一平東來,24
㟅,luwng;nguwng;ngaewng,盧紅;五東;五江,通開一平東來;通開一平東疑;江開二平江疑,24;33;85
屸,luwng,盧紅,通開一平東來,24
紅,huwng,戸公,通開一平東匣,25
洪,huwng,戸公,通開一平東匣,25
鉷,huwng,戸公,通開一平東匣,25
訌,huwng,戸公,通開一平東匣,25
虹,huwng;kuwngH;kaewngH,戸公;古送;古巷,通開一平東匣;通開一去東見;江開二去江見,25;2094;2141
仜,huwng,戸公,通開一平東匣,25
鴻,huwng;huwngX,戸公;胡孔,通開一平東匣;通開一上東匣,25;1163
葒,huwng,戸公,通開一平東匣,25
葓,huwng,戸公,通開一平東匣,25
谼,huwng,戸公,通開一平東匣,25
䉺,huwng,戸公,通開一平東匣,25
䪦,huwng,戸公,通開一平東匣,25
𦏼,huwng,戸公,通開一平東匣,25
䫹,huwng,戸公,通開一平東匣,25
𨾊,huwng,戸公,通開一平東匣,25
烘,huwng;xuwng;huwngH;xuwngH,戸公;呼東;胡貢;呼貢,通開一平東匣;通開一平東曉;通開一去東匣;通開一去東曉,25;32;2113;2118
洚,huwng;howng;haewng;kaewngH,戸公;戸冬;下江;古巷,通開一平東匣;通開一平冬匣;江開二平江匣;江開二去江見,25;40;74;2141
渱,huwng,戸公,通開一平東匣,25
𨹁,huwng;kuwngH,戸公;古送,通開一平東匣;通開一去東見,25;2094
䧆,huwng,戸公,通開一平東匣,25
䂫,huwng,戸公,通開一平東匣,25
叢,dzuwng,徂紅,通開一平東從,26
藂,dzuwng,徂紅,通開一平東從,26
䕺,dzuwng,徂紅,通開一平東從,26
𥵫,dzuwng,徂紅,通開一平東從,26
翁,'uwng,烏紅,通開一平東影,27
螉,'uwng,烏紅,通開一平東影,27
䱵,'uwng,烏紅,通開一平東影,27
蓊,'uwng;'uwngX,烏紅;烏孔,通開一平東影;通開一上東影,27;1164
䈵,'uwng;'uwngX,烏紅;烏孔,通開一平東影;通開一上東影,27;1164
䩺,'uwng,烏紅,通開一平東影,27
㮬,'uwng,烏紅,通開一平東影,27
𩔚,'uwng,烏紅,通開一平東影,27
怱,tshuwng,倉紅,通開一平東清,28
匆,tshuwng,倉紅,通開一平東清,28
忩,tshuwng,倉紅,通開一平東清,28
葱,tshuwng,倉紅,通開一平東清,28
蔥,tshuwng,倉紅,通開一平東清,28
聦,tshuwng,倉紅,通開一平東清,28
聰,tshuwng,倉紅,通開一平東清,28
騘,tshuwng,倉紅,通開一平東清,28
驄,tshuwng,倉紅,通開一平東清,28
樬,tshuwng,倉紅,通開一平東清,28
𨍉,tshuwng,倉紅,通開一平東清,28
䡯,tshuwng,倉紅,通開一平東清,28
𦇎,tshuwng,倉紅,通開一平東清,28
𤧚,tshuwng,倉紅,通開一平東清,28
璁,tshuwng,倉紅,通開一平東清,28
𨣭,tshuwng,倉紅,通開一平東清,28
𨣼,tshuwng,倉紅,通開一平東清,28
鍯,tshuwng,倉紅,通開一平東清,28
鏓,tshuwng,倉紅,通開一平東清,28
㷓,tshuwng;tsuwngX,倉紅;作孔,通開一平東清;通開一上東精,28;1162
熜,tshuwng,倉紅,通開一平東清,28
𢉛,tshuwng;tsuwngX,倉紅;作孔,通開一平東清;通開一上東精,28;1162
𢊕,tshuwng,倉紅,通開一平東清,28
䗓,tshuwng,倉紅,通開一平東清,28
蟌,tshuwng,倉紅,通開一平東清,28
通,thuwng,他紅,通開一平東透,29
蓪,thuwng,他紅,通開一平東透,29
恫,thuwng;duwngH,他紅;徒弄,通開一平東透;通開一去東定,29;2101
痌,thuwng,他紅,通開一平東透,29
俑,thuwng;yowngX,他紅;余隴,通開一平東透;通開三上鍾以,29;1180
𧳆,thuwng,他紅,通開一平東透,29
𨀜,thuwng,他紅,通開一平東透,29
葼,tsuwng,子紅,通開一平東精,30
嵕,tsuwng,子紅,通開一平東精,30
艐,tsuwng;keajH;khaH,子紅;古拜;口箇,通開一平東精;蟹開二去皆見;果開一去歌溪,30;2473;2828
鬷,tsuwng,子紅,通開一平東精,30
猣,tsuwng;tsuwngX,子紅;作孔,通開一平東精;通開一上東精,30;1162
鯼,tsuwng;tsuwngH,子紅;作弄,通開一平東精;通開一去東精,30;2098
椶,tsuwng,子紅,通開一平東精,30
棕,tsuwng,子紅,通開一平東精,30
騣,tsuwng,子紅,通開一平東精,30
鬃,tsuwng;dzowng;dzraewng,子紅;藏宗;士江,通開一平東精;通開一平冬從;江開二平江崇,30;37;86
𥓻,tsuwng,子紅,通開一平東精,30
翪,tsuwng;tsuwngX,子紅;作孔,通開一平東精;通開一上東精,30;1162
緵,tsuwng;tsuwngH,子紅;作弄,通開一平東精;通開一去東精,30;2098
㣭,tsuwng,子紅,通開一平東精,30
稯,tsuwng,子紅,通開一平東精,30
堫,tsuwng;tsrhaewng,子紅;楚江,通開一平東精;江開二平江初,30;72
蝬,tsuwng,子紅,通開一平東精,30
鬉,tsuwng,子紅,通開一平東精,30
㚇,tsuwng;tsuwngH,子紅;作弄,通開一平東精;通開一去東精,30;2098
豵,tsuwng;tsjowng,子紅;即容,通開一平東精;通開三平鍾精,30;61
䗥,tsuwng;tshjowng,子紅;七恭,通開一平東精;通開三平鍾清,30;67
嵸,tsuwng,子紅,通開一平東精,30
𩮀,tsuwng;tsuwngX,子紅;作孔,通開一平東精;通開一上東精,30;1162
蓬,buwng,薄紅,通開一平東並,31
𥭗,buwng,薄紅,通開一平東並,31
篷,buwng,薄紅,通開一平東並,31
髼,buwng,薄紅,通開一平東並,31
蜂,buwng;phjowng,薄紅;敷容,通開一平東並;通開三平鍾滂,31;60
𧚋,buwng,薄紅,通開一平東並,31
韸,buwng,薄紅,通開一平東並,31
䮾,buwng;laewng,薄紅;呂江,通開一平東並;江開二平江來,31;76
𩖛,buwng;bjiw,薄紅;皮彪,通開一平東並;流開三平幽並,31;1039
叿,xuwng,呼東,通開一平東曉,32
谾,xuwng;xaewng,呼東;許江,通開一平東曉;江開二平江曉,32;79
𩐠,xuwng,呼東,通開一平東曉,32
𩗄,xuwng,呼東,通開一平東曉,32
檧,suwng,蘇公,通開一平東心,34
憽,suwng,蘇公,通開一平東心,34
忪,suwng;tsyowng,蘇公;職容,通開一平東心;通開三平鍾章,34;45
冬,towng,都宗,通開一平冬端,35
𠔙,towng,都宗,通開一平冬端,35
苳,towng,都宗,通開一平冬端,35
䳉,towng,都宗,通開一平冬端,35
笗,towng,都宗,通開一平冬端,35
𩂓,towng,都宗,通開一平冬端,35
𧲴,towng,都宗,通開一平冬端,35
彤,downg,徒冬,通開一平冬定,36
疼,downg,徒冬,通開一平冬定,36
佟,downg,徒冬,通開一平冬定,36
炵,downg;thowng,徒冬;他冬,通開一平冬定;通開一平冬透,36;44
䳋,downg,徒冬,通開一平冬定,36
鼕,downg,徒冬,通開一平冬定,36
𢥞,downg,徒冬,通開一平冬定,36
𢾮,downg,徒冬,通開一平冬定,36
㤏,downg,徒冬,通開一平冬定,36
痋,downg,徒冬,通開一平冬定,36
䂈,downg,徒冬,通開一平冬定,36
鉵,downg,徒冬,通開一平冬定,36
𧹝,downg,徒冬,通開一平冬定,36
浵,downg,徒冬,通開一平冬定,36
𠩁,downg,徒冬,通開一平冬定,36
鉖,downg,徒冬,通開一平冬定,36
𨜳,downg,徒冬,通開一平冬定,36
㠽,downg,徒冬,通開一平冬定,36
赨,downg,徒冬,通開一平冬定,36
賨,dzowng,藏宗,通開一平冬從,37
琮,dzowng,藏宗,通開一平冬從,37
悰,dzowng,藏宗,通開一平冬從,37
淙,dzowng;dzraewng;sraewngH,藏宗;士江;色絳,通開一平冬從;江開二平江崇;江開二去江生,37;86;2149
慒,dzowng;zjuw,藏宗;似尤,通開一平冬從;流開三平尤邪,37;1011
㼻,dzowng;dzraewng,藏宗;士江,通開一平冬從;江開二平江崇,37;86
孮,dzowng,藏宗,通開一平冬從,37
誴,dzowng,藏宗,通開一平冬從,37
𢃏,dzowng,藏宗,通開一平冬從,37
農,nowng;naw,奴冬;奴刀,通開一平冬泥;效開一平豪泥,38;721
䢉,nowng,奴冬,通開一平冬泥,38
辳,nowng,奴冬,通開一平冬泥,38
𨑋,nowng,奴冬,通開一平冬泥,38
𩟊,nowng;nraewng;nraewngX,奴冬;女江;匿講,通開一平冬泥;江開二平江娘;江開二上江娘,38;71;4001
噥,nowng;nraewng,奴冬;女江,通開一平冬泥;江開二平江娘,38;71
𩅽,nowng,奴冬,通開一平冬泥,38
憹,nowng;naw,奴冬;奴刀,通開一平冬泥;效開一平豪泥,38;721
㺜,nowng;nrjowng;nraew;naw,奴冬;女容;女交;奴刀,通開一平冬泥;通開三平鍾娘;效開二平肴娘;效開一平豪泥,38;55;690;721
儂,nowng,奴冬,通開一平冬泥,38
𧗕,nowng,奴冬,通開一平冬泥,38
膿,nowng,奴冬,通開一平冬泥,38
䃔,howng;howngH,戸冬;乎宋,通開一平冬匣;通開一去冬匣,40;2123
㗢,howng;duwngH;howngH,戸冬;徒弄;乎宋,通開一平冬匣;通開一去東定;通開一去冬匣,40;2101;2123
𩘎,howng,戸冬,通開一平冬匣,40
䃧,lowng,力冬,通開一平冬來,41
䥢,lowng,力冬,通開一平冬來,41
𣫣,lowng,力冬,通開一平冬來,41
宗,tsowng,作冬,通開一平冬精,42
倧,tsowng,作冬,通開一平冬精,42
鬆,sowng;sjowng;tshjowng;suwngH,私宗;息恭;七恭;蘇弄,通開一平冬心;通開三平鍾心;通開三平鍾清;通開一去東心,43;66;67;2092
䯳,sowng,私宗,通開一平冬心,43
鍾,tsyowng,職容,通開三平鍾章,45
鐘,tsyowng,職容,通開三平鍾章,45
䇗,tsyowng,職容,通開三平鍾章,45
蹱,tsyowng;trhjowng;trhjowngH,職容;丑凶;丑用,通開三平鍾章;通開三平鍾徹;通開三去鍾徹,45;58;2133
彸,tsyowng,職容,通開三平鍾章,45
衳,tsyowng,職容,通開三平鍾章,45
伀,tsyowng,職容,通開三平鍾章,45
籦,tsyowng,職容,通開三平鍾章,45
妐,tsyowng,職容,通開三平鍾章,45
㕬,tsyowng,職容,通開三平鍾章,45
𧢸,tsyowng;kaewng,職容;古雙,通開三平鍾章;江開二平江見,45;69
炂,tsyowng,職容,通開三平鍾章,45
𦬘,tsyowng,職容,通開三平鍾章,45
𨳗,tsyowng,職容,通開三平鍾章,45
鈆,tsyowng;ywen,職容;與專,通開三平鍾章;山合三平仙以,45;623
龍,ljowng,力鍾,通開三平鍾來,46
𪚝,ljowng,力鍾,通開三平鍾來,46
躘,ljowng;ljowngH,力鍾;良用,通開三平鍾來;通開三去鍾來,46;2137
驡,ljowng;tsangX,力鍾;子朗,通開三平鍾來;宕開一上唐精,46;1836
𪚠,ljowng,力鍾,通開三平鍾來,46
𦪽,ljowng,力鍾,通開三平鍾來,46
舂,syowng,書容,通開三平鍾書,47
摏,syowng,書容,通開三平鍾書,47
蹖,syowng,書容,通開三平鍾書,47
憃,syowng;trhaewng;trhjowngH,書容;丑江;丑用,通開三平鍾書;江開二平江徹;通開三去鍾徹,47;83;2133
𧐍,syowng,書容,通開三平鍾書,47
𪄻,syowng,書容,通開三平鍾書,47
松,zjowng,祥容,通開三平鍾邪,48
㮤,zjowng,祥容,通開三平鍾邪,48
淞,zjowng;sjowng,祥容;息恭,通開三平鍾邪;通開三平鍾心,48;66
訟,zjowng;zjowngH,祥容;似用,通開三平鍾邪;通開三去鍾邪,48;2125
衝,tsyhowng,尺容,通開三平鍾昌,49
𧘂,tsyhowng,尺容,通開三平鍾昌,49
憧,tsyhowng;draewngH,尺容;直絳,通開三平鍾昌;江開二去江澄,49;2144
䡴,tsyhowng;draewngH,尺容;直絳,通開三平鍾昌;江開二去江澄,49;2144
艟,tsyhowng;draewngH,尺容;直絳,通開三平鍾昌;江開二去江澄,49;2144
褈,tsyhowng;drjowng,尺容;直容,通開三平鍾昌;通開三平鍾澄,49;56
𠟍,tsyhowng,尺容,通開三平鍾昌,49
𠝤,tsyhowng,尺容,通開三平鍾昌,49
䂌,tsyhowng,尺容,通開三平鍾昌,49
容,yowng,餘封,通開三平鍾以,50
溶,yowng;yowngX,餘封;余隴,通開三平鍾以;通開三上鍾以,50;1180
滽,yowng,餘封,通開三平鍾以,50
庸,yowng,餘封,通開三平鍾以,50
𦤘,yowng,餘封,通開三平鍾以,50
𧴄,yowng,餘封,通開三平鍾以,50
㺎,yowng,餘封,通開三平鍾以,50
𤛑,yowng,餘封,通開三平鍾以,50
墉,yowng,餘封,通開三平鍾以,50
鎔,yowng,餘封,通開三平鍾以,50
鏞,yowng,餘封,通開三平鍾以,50
銿,yowng,餘封,通開三平鍾以,50
