Character,Transcriptions,Fanqie,Sixtuples,Identifiers
䒗,xjɨt;khjɨt,許迄;去迄,臻開三入欣曉;臻開三入欣溪,3349;3353
䛥,xjɨt,許迄,臻開三入欣曉,3349
汔,xjɨt,許迄,臻開三入欣曉,3349
訖,kjɨt,居乙,臻開三入欣見,3350
吃,kjɨt,居乙,臻開三入欣見,3350
扢,kjɨt;kwot;hwot,居乙;古忽;戸骨,臻開三入欣見;臻合一入魂見;臻合一入魂匣,3350;3372;3388
䰴,kjɨt,居乙,臻開三入欣見,3350
疙,ngjɨt,魚迄,臻開三入欣疑,3351
屹,ngjɨt,魚迄,臻開三入欣疑,3351
𧆫,ngjɨt,魚迄,臻開三入欣疑,3351
䞘,gjɨt,其迄,臻開三入欣群,3352
𢇓,gjɨt,其迄,臻開三入欣群,3352
乞,khjɨt,去迄,臻開三入欣溪,3353
月,ngjwot,魚厥,山合三入元疑,3354
刖,ngjwot;ngwot;ngwaet,魚厥;五忽;五刮,山合三入元疑;臻合一入魂疑;山合二入刪疑,3354;3379;3456
跀,ngjwot,魚厥,山合三入元疑,3354
𧿁,ngjwot,魚厥,山合三入元疑,3354
軏,ngjwot;ngwot,魚厥;五忽,山合三入元疑;臻合一入魂疑,3354;3379
抈,ngjwot,魚厥,山合三入元疑,3354
扤,ngjwot;ngwot,魚厥;五忽,山合三入元疑;臻合一入魂疑,3354;3379
枂,ngjwot;ngwat,魚厥;五活,山合三入元疑;山合一入桓疑,3354;3406
鈅,ngjwot,魚厥,山合三入元疑,3354
玥,ngjwot,魚厥,山合三入元疑,3354
𦘹,ngjwot,魚厥,山合三入元疑,3354
伐,bjot,房越,山合三入元並,3355
筏,bjot;pat,房越;北末,山合三入元並;山合一入桓幫,3355;3408
栰,bjot,房越,山合三入元並,3355
罰,bjot,房越,山合三入元並,3355
閥,bjot,房越,山合三入元並,3355
垡,bjot,房越,山合三入元並,3355
瞂,bjot,房越,山合三入元並,3355
拔,bjot;bat;beat,房越;蒲撥;蒲八,山合三入元並;山合一入桓並;山開二入山並,3355;3422;3425
藅,bjot,房越,山合三入元並,3355
坺,bjot;bat,房越;蒲撥,山合三入元並;山合一入桓並,3355;3422
䣹,bjot,房越,山合三入元並,3355
越,hjwot;hwat,王伐;戸括,山合三入元云;山合一入桓匣,3356;3412
𨒋,hjwot,王伐,山合三入元云,3356
粤,hjwot,王伐,山合三入元云,3356
粵,hjwot,王伐,山合三入元云,3356
戉,hjwot,王伐,山合三入元云,3356
鉞,hjwot,王伐,山合三入元云,3356
䋐,hjwot,王伐,山合三入元云,3356
樾,hjwot,王伐,山合三入元云,3356
蚏,hjwot,王伐,山合三入元云,3356
曰,hjwot,王伐,山合三入元云,3356
𥩡,hjwot,王伐,山合三入元云,3356
𡛟,hjwot,王伐,山合三入元云,3356
𣐋,hjwot,王伐,山合三入元云,3356
𧊎,hjwot,王伐,山合三入元云,3356
泧,hjwot;xjwot;xwat,王伐;許月;呼括,山合三入元云;山合三入元曉;山合一入桓曉,3356;3363;3414
氒,kjwot,居月,山合三入元見,3357
𨇮,kjwot,居月,山合三入元見,3357
𧽸,kjwot,居月,山合三入元見,3357
𧼞,kjwot,居月,山合三入元見,3357
瘚,kjwot,居月,山合三入元見,3357
劂,kjwot,居月,山合三入元見,3357
蕨,kjwot,居月,山合三入元見,3357
蟨,kjwot,居月,山合三入元見,3357
蟩,kjwot,居月,山合三入元見,3357
橜,kjwot;gjwot,居月;其月,山合三入元見;山合三入元群,3357;3359
橛,kjwot;gjwot,居月;其月,山合三入元見;山合三入元群,3357;3359
𥕲,kjwot,居月,山合三入元見,3357
𠢤,kjwot,居月,山合三入元見,3357
欮,kjwot,居月,山合三入元見,3357
撅,kjwot;gjwot,居月;其月,山合三入元見;山合三入元群,3357;3359
𠄌,kjwot;gjwot,居月;其月,山合三入元見;山合三入元群,3357;3359
獗,kjwot,居月,山合三入元見,3357
𡡕,'jwot,於月,山合三入元影,3358
𧤼,gjwot,其月,山合三入元群,3359
鷢,gjwot,其月,山合三入元群,3359
蹷,gjwot,其月,山合三入元群,3359
憠,gjwot,其月,山合三入元群,3359
𨬐,gjwot,其月,山合三入元群,3359
䞷,gjwot,其月,山合三入元群,3359
𣖬,gjwot,其月,山合三入元群,3359
𩪜,gjwot,其月,山合三入元群,3359
闕,khjwot,去月,山合三入元溪,3360
㵐,khjwot,去月,山合三入元溪,3360
發,pjot,方伐,山合三入元幫,3361
髮,pjot,方伐,山合三入元幫,3361
𩠖,pjot,方伐,山合三入元幫,3361
𩑛,pjot,方伐,山合三入元幫,3361
颰,pjot;bat,方伐;蒲撥,山合三入元幫;山合一入桓並,3361;3422
韤,mjot,望發,山合三入元明,3362
韈,mjot,望發,山合三入元明,3362
襪,mjot,望發,山合三入元明,3362
𥄎,mjot;xjwet;tshjwek;xik,望發;許劣;七役;況逼,山合三入元明;山合三入仙曉;梗合三入清清;曾合三入蒸曉,3362;3522;3669;3714
㒝,mjot;met,望發;莫結,山合三入元明;山開四入先明,3362;3480
䟠,xjwot,許月,山合三入元曉,3363
狘,xjwot,許月,山合三入元曉,3363
䎀,xjwot,許月,山合三入元曉,3363
㞽,xjwot,許月,山合三入元曉,3363
謁,'jot,於歇,山開三入元影,3364
暍,'jot;xat,於歇;許葛,山開三入元影;山開一入寒曉,3364;3391
𢉥,'jot;'at,於歇;烏葛,山開三入元影;山開一入寒影,3364;3394
歇,xjot,許謁,山開三入元曉,3365
蠍,xjot,許謁,山開三入元曉,3365
猲,xjot;xat;khjop,許謁;許葛;起法,山開三入元曉;山開一入寒曉;咸合三入凡溪,3365;3391;3868
𤢔,xjot,許謁,山開三入元曉,3365
𦪬,xjot,許謁,山開三入元曉,3365
𧼨,kjot,居謁,山開三入元見,3366
羯,kjot,居謁,山開三入元見,3366
𢶆,kjot,居謁,山開三入元見,3366
鍻,kjot,居謁,山開三入元見,3366
𢷒,gjot,其謁,山開三入元群,3367
竭,gjot;gjet,其謁;渠列,山開三入元群;山開三入仙群,3367;3492
碣,gjot;gjet,其謁;渠列,山開三入元群;山開三入仙群,3367;3492
楬,gjot;khaet;gjet,其謁;枯鎋;渠列,山開三入元群;山開二入刪溪;山開三入仙群,3367;3448;3492
钀,ngjot;ngjet,語訐;魚列,山開三入元疑;山開三入仙疑,3369;3497
沒,mwot,莫勃,臻合一入魂明,3370
没,mwot,莫勃,臻合一入魂明,3370
殁,mwot,莫勃,臻合一入魂明,3370
歿,mwot,莫勃,臻合一入魂明,3370
𤣻,mwot,莫勃,臻合一入魂明,3370
𩑦,mwot;'wot,莫勃;烏没,臻合一入魂明;臻合一入魂影,3370;3377
𠬛,mwot,莫勃,臻合一入魂明,3370
莈,mwot,莫勃,臻合一入魂明,3370
宊,thwot;thwot,土骨;他骨,臻合一入魂透;臻合一入魂透,3371;3375
骨,kwot,古忽,臻合一入魂見,3372
縎,kwot,古忽,臻合一入魂見,3372
鶻,kwot;hwot;hweat,古忽;戸骨;戸八,臻合一入魂見;臻合一入魂匣;山合二入山匣,3372;3388;3427
滑,kwot;hwot;hweat,古忽;戸骨;戸八,臻合一入魂見;臻合一入魂匣;山合二入山匣,3372;3388;3427
䮩,kwot,古忽,臻合一入魂見,3372
啒,kwot;xwot,古忽;呼骨,臻合一入魂見;臻合一入魂曉,3372;3378
淈,kwot;hot,古忽;下没,臻合一入魂見;臻開一入痕匣,3372;3387
汩,kwot,古忽,臻合一入魂見,3372
愲,kwot,古忽,臻合一入魂見,3372
蓇,kwot,古忽,臻合一入魂見,3372
尳,kwot;hwot,古忽;戸骨,臻合一入魂見;臻合一入魂匣,3372;3388
㾶,kwot,古忽,臻合一入魂見,3372
榾,kwot,古忽,臻合一入魂見,3372
䓛,kwot,古忽,臻合一入魂見,3372
㒴,kwot,古忽,臻合一入魂見,3372
勃,bwot,蒲没,臻合一入魂並,3373
渤,bwot,蒲没,臻合一入魂並,3373
𩱚,bwot,蒲没,臻合一入魂並,3373
餑,bwot,蒲没,臻合一入魂並,3373
𡋯,bwot,蒲没,臻合一入魂並,3373
馞,bwot;phwot,蒲没;普没,臻合一入魂並;臻合一入魂滂,3373;3380
郣,bwot,蒲没,臻合一入魂並,3373
浡,bwot,蒲没,臻合一入魂並,3373
𣭷,bwot,蒲没,臻合一入魂並,3373
𢠜,bwot,蒲没,臻合一入魂並,3373
㪍,bwot,蒲没,臻合一入魂並,3373
㶿,bwot,蒲没,臻合一入魂並,3373
桲,bwot,蒲没,臻合一入魂並,3373
挬,bwot,蒲没,臻合一入魂並,3373
脖,bwot,蒲没,臻合一入魂並,3373
𦸦,bwot,蒲没,臻合一入魂並,3373
鵓,bwot,蒲没,臻合一入魂並,3373
咄,twot;twat,當没;丁括,臻合一入魂端;山合一入桓端,3374;3420
柮,twot;dzwat,當没;藏活,臻合一入魂端;山合一入桓從,3374;3407
𩢎,twot,當没,臻合一入魂端,3374
𩨳,twot,當没,臻合一入魂端,3374
棁,thwot;thwat,他骨;他括,臻合一入魂透;山合一入桓透,3375;3418
𠫓,thwot,他骨,臻合一入魂透,3375
𡿮,thwot;dwot,他骨;陀骨,臻合一入魂透;臻合一入魂定,3375;3376
䠈,thwot,他骨,臻合一入魂透,3375
突,dwot,陀骨,臻合一入魂定,3376
揬,dwot,陀骨,臻合一入魂定,3376
腯,dwot,陀骨,臻合一入魂定,3376
鼵,dwot,陀骨,臻合一入魂定,3376
葖,dwot,陀骨,臻合一入魂定,3376
鶟,dwot,陀骨,臻合一入魂定,3376
堗,dwot,陀骨,臻合一入魂定,3376
𦩤,dwot,陀骨,臻合一入魂定,3376
鈯,dwot,陀骨,臻合一入魂定,3376
𦔅,dwot,陀骨,臻合一入魂定,3376
𣔻,dwot,陀骨,臻合一入魂定,3376
凸,dwot;det,陀骨;徒結,臻合一入魂定;山開四入先定,3376;3474
鍎,dwot,陀骨,臻合一入魂定,3376
腽,'wot,烏没,臻合一入魂影,3377
膃,'wot,烏没,臻合一入魂影,3377
嗢,'wot;'weat,烏没;烏八,臻合一入魂影;山合二入山影,3377;3430
䯉,'wot;'weat,烏没;烏八,臻合一入魂影;山合二入山影,3377;3430
榅,'wot,烏没,臻合一入魂影,3377
淴,'wot,烏没,臻合一入魂影,3377
忽,xwot,呼骨,臻合一入魂曉,3378
㾁,xwot,呼骨,臻合一入魂曉,3378
匫,xwot,呼骨,臻合一入魂曉,3378
寣,xwot,呼骨,臻合一入魂曉,3378
笏,xwot,呼骨,臻合一入魂曉,3378
䩐,xwot,呼骨,臻合一入魂曉,3378
曶,xwot,呼骨,臻合一入魂曉,3378
𣓗,xwot,呼骨,臻合一入魂曉,3378
㦌,xwot,呼骨,臻合一入魂曉,3378
𦁕,xwot,呼骨,臻合一入魂曉,3378
䝆,xwot,呼骨,臻合一入魂曉,3378
惚,xwot,呼骨,臻合一入魂曉,3378
兀,ngwot,五忽,臻合一入魂疑,3379
杌,ngwot,五忽,臻合一入魂疑,3379
屼,ngwot,五忽,臻合一入魂疑,3379
矹,ngwot,五忽,臻合一入魂疑,3379
䦍,ngwot,五忽,臻合一入魂疑,3379
鼿,ngwot,五忽,臻合一入魂疑,3379
𦨉,ngwot,五忽,臻合一入魂疑,3379
䑢,ngwot,五忽,臻合一入魂疑,3379
𠨜,ngwot,五忽,臻合一入魂疑,3379
㽾,ngwot,五忽,臻合一入魂疑,3379
𤴰,ngwot,五忽,臻合一入魂疑,3379
𧈭,ngwot,五忽,臻合一入魂疑,3379
𦬂,ngwot,五忽,臻合一入魂疑,3379
䪬,phwot,普没,臻合一入魂滂,3380
昢,phwot,普没,臻合一入魂滂,3380
哱,phwot,普没,臻合一入魂滂,3380
㛘,phwot,普没,臻合一入魂滂,3380
硉,lwot,勒没,臻合一入魂來,3381
𨁸,lwot,勒没,臻合一入魂來,3381
𥓎,lwot,勒没,臻合一入魂來,3381
㪐,lwot,勒没,臻合一入魂來,3381
窟,khwot,苦骨,臻合一入魂溪,3382
矻,khwot,苦骨,臻合一入魂溪,3382
𡑧,khwot;haet,苦骨;胡瞎,臻合一入魂溪;山開二入刪匣,3382;3444
㧾,khwot,苦骨,臻合一入魂溪,3382
圣,khwot,苦骨,臻合一入魂溪,3382
㩿,khwot,苦骨,臻合一入魂溪,3382
𡑣,khwot,苦骨,臻合一入魂溪,3382
䯇,khwot;khweat,苦骨;口滑,臻合一入魂溪;山合二入山溪,3382;3441
𡼿,khwot,苦骨,臻合一入魂溪,3382
𥌄,khwot,苦骨,臻合一入魂溪,3382
訥,nwot,内骨,臻合一入魂泥,3383
㕯,nwot;nrweat;nywet,内骨;女滑;如劣,臻合一入魂泥;山合二入山娘;山合三入仙日,3383;3431;3508
𣧍,nwot,内骨,臻合一入魂泥,3383
窣,swot,蘇骨,臻合一入魂心,3384
𪌯,swot,蘇骨,臻合一入魂心,3384
𪍛,swot,蘇骨,臻合一入魂心,3384
㲞,swot,蘇骨,臻合一入魂心,3384
𪖶,swot,蘇骨,臻合一入魂心,3384
𪅄,swot,蘇骨,臻合一入魂心,3384
㞕,swot,蘇骨,臻合一入魂心,3384
猝,tshwot,倉没,臻合一入魂清,3385
𢪃,tshwot,倉没,臻合一入魂清,3385
𥾛,tshwot,倉没,臻合一入魂清,3385
椊,dzwot,昨没,臻合一入魂從,3386
䚝,dzwot,昨没,臻合一入魂從,3386
崪,dzwot,昨没,臻合一入魂從,3386
𩩠,dzwot,昨没,臻合一入魂從,3386
麧,hot,下没,臻開一入痕匣,3387
𥝖,hot,下没,臻開一入痕匣,3387
齕,hot;het,下没;胡結,臻開一入痕匣;山開四入先匣,3387;3476
紇,hot;het,下没;胡結,臻開一入痕匣;山開四入先匣,3387;3476
搰,hwot,戸骨,臻合一入魂匣,3388
𣝗,hwot,戸骨,臻合一入魂匣,3388
𦗣,hwot,戸骨,臻合一入魂匣,3388
𦖼,hwot,戸骨,臻合一入魂匣,3388
抇,hwot,戸骨,臻合一入魂匣,3388
𡰅,hwot,戸骨,臻合一入魂匣,3388
稡,tswot,臧没,臻合一入魂精,3389
曷,hat,胡葛,山開一入寒匣,3390
褐,hat,胡葛,山開一入寒匣,3390
毼,hat,胡葛,山開一入寒匣,3390
鶡,hat,胡葛,山開一入寒匣,3390
蝎,hat,胡葛,山開一入寒匣,3390
䫘,hat;xat,胡葛;許葛,山開一入寒匣;山開一入寒曉,3390;3391
𩩲,hat,胡葛,山開一入寒匣,3390
骱,hat;keat,胡葛;古黠,山開一入寒匣;山開二入山見,3390;3434
㮫,hat,胡葛,山開一入寒匣,3390
鞨,hat;zyet,胡葛;食列,山開一入寒匣;山開三入仙船,3390;3495
𠿒,xat,許葛,山開一入寒曉,3391
㿣,xat,許葛,山開一入寒曉,3391
𩡔,xat,許葛,山開一入寒曉,3391
怛,tat,當割,山開一入寒端,3392
𢛁,tat,當割,山開一入寒端,3392
妲,tat,當割,山開一入寒端,3392
呾,tat,當割,山開一入寒端,3392
炟,tat,當割,山開一入寒端,3392
䵣,tat,當割,山開一入寒端,3392
𦬹,tat,當割,山開一入寒端,3392
靼,tat;tsyet,當割;旨熱,山開一入寒端;山開三入仙章,3392;3494
闥,that,他達,山開一入寒透,3393
㒓,that,他達,山開一入寒透,3393
撻,that,他達,山開一入寒透,3393
躂,that,他達,山開一入寒透,3393
澾,that,他達,山開一入寒透,3393
獺,that;trhaet,他達;他鎋,山開一入寒透;山開二入刪徹,3393;3450
𣥂,that,他達,山開一入寒透,3393
羍,that,他達,山開一入寒透,3393
